timestamp,node,socket,core,temperature,frequency,cpu_usage,cpu_power,memory_power,cpu_energy,memory_energy,hour,day,month,temperature_lag_1,temperature_lag_2,temperature_lag_3,frequency_lag_1,cpu_usage_lag_1,power_lag_1,energy_lag_1,temperature_roll3,frequency_roll3,cpu_usage_roll3,power_roll3,energy_roll3,temperature_diff,frequency_diff,cpu_usage_diff,power_diff,energy_diff,target_temperature
2026-07-17 13:50:01,gpu45,0,22,27.0,1416.03,0.0,53.4629,43.4876,49878.61950683594,124972.7059326172,13,17,7,27.0,27.0,27.0,1416.04,0.0,53.5254,33846.949462890625,27.0,1416.0366666666666,0.0,53.435066666666664,33867.62424723307,0.0,-0.009999999999990905,0.0,-0.0625,16031.670043945312,27.0
2026-07-17 13:55:01,gpu45,0,22,27.0,1416.03,0.0,53.4779,43.3986,65887.5784301758,137822.14776611328,13,17,7,27.0,27.0,27.0,1416.03,0.0,53.4629,49878.61950683594,27.0,1416.0333333333335,0.0,53.48873333333333,49871.04913330078,0.0,0.0,0.0,0.015000000000000568,16008.958923339858,27.0
2026-07-17 14:00:01,gpu45,0,22,27.0,1416.03,0.0,53.3844,44.2618,81897.716796875,150674.39630126953,14,17,7,27.0,27.0,27.0,1416.03,0.0,53.4779,65887.5784301758,27.0,1416.03,0.0,53.44173333333333,65887.97157796223,0.0,0.0,0.0,-0.0934999999999988,16010.138366699204,28.0
2026-07-17 14:05:01,gpu45,0,22,28.0,1416.03,0.0,53.3789,43.8774,97936.1432495117,163606.857421875,14,17,7,27.0,27.0,27.0,1416.03,0.0,53.3844,81897.716796875,27.333333333333332,1416.03,0.0,53.41373333333333,81907.14615885417,1.0,0.0,0.0,-0.00549999999999784,16038.426452636704,28.0
2026-07-17 14:10:01,gpu45,0,22,28.0,1416.03,0.0,53.5411,43.4839,113962.47143554688,176546.0234375,14,17,7,28.0,27.0,27.0,1416.03,0.0,53.3789,97936.1432495117,27.666666666666668,1416.03,0.0,53.434799999999996,97932.11049397786,0.0,0.0,0.0,0.16219999999999857,16026.32818603517,27.0
2026-07-17 14:15:01,gpu45,0,22,27.0,1416.02,0.0,53.3327,43.7396,129997.0678100586,189412.2596435547,14,17,7,28.0,28.0,27.0,1416.03,0.0,53.5411,113962.47143554688,27.666666666666668,1416.0266666666666,0.0,53.417566666666666,113965.22749837239,-1.0,-0.009999999999990905,0.0,-0.20839999999999748,16034.596374511719,27.0
2026-07-17 14:20:01,gpu45,0,22,27.0,1416.02,0.0,53.5699,43.4276,146015.24279785156,202267.04223632807,14,17,7,27.0,28.0,28.0,1416.02,0.0,53.3327,129997.0678100586,27.333333333333332,1416.0233333333333,0.0,53.481233333333336,129991.59401448567,0.0,0.0,0.0,0.2371999999999943,16018.174987792969,28.0
2026-07-17 14:25:01,gpu45,0,22,28.0,1416.02,0.0,53.6354,43.1069,162052.37884521484,215142.60479736328,14,17,7,27.0,27.0,28.0,1416.02,0.0,53.5699,146015.24279785156,27.333333333333332,1416.02,0.0,53.51266666666667,146021.56315104166,1.0,0.0,0.0,0.06550000000000011,16037.136047363281,26.0
2026-07-17 14:30:01,gpu45,0,22,26.0,1416.02,0.0,53.6142,43.6125,178061.1151123047,227987.87231445312,14,17,7,28.0,27.0,27.0,1416.02,0.0,53.6354,162052.37884521484,27.0,1416.02,0.0,53.60649999999999,162042.91225179037,-2.0,0.0,0.0,-0.02120000000000033,16008.736267089844,27.0
2026-07-17 14:35:01,gpu45,0,22,27.0,1416.01,0.0,53.5985,42.6602,194094.73303222656,240861.24627685547,14,17,7,26.0,28.0,27.0,1416.02,0.0,53.6142,178061.1151123047,27.0,1416.0166666666667,0.0,53.61603333333333,178069.40899658203,1.0,-0.009999999999990905,0.0,-0.015699999999995384,16033.617919921875,27.0
2026-07-17 14:40:01,gpu45,0,22,27.0,1416.01,0.0,53.6771,43.5249,210147.82220458984,253715.79370117188,14,17,7,27.0,26.0,28.0,1416.01,0.0,53.5985,194094.73303222656,26.666666666666668,1416.0133333333333,0.0,53.62993333333333,194101.22344970703,0.0,0.0,0.0,0.07860000000000156,16053.089172363281,27.0
2026-07-17 14:45:01,gpu45,0,22,27.0,1416.01,0.0,53.517,43.3538,226187.27337646484,4532.74188232422,14,17,7,27.0,27.0,26.0,1416.01,0.0,53.6771,210147.82220458984,27.0,1416.01,0.0,53.59753333333334,210143.2762044271,0.0,0.0,0.0,-0.1600999999999999,16039.451171875,27.0
2026-07-17 14:50:01,gpu45,0,22,27.0,1416.01,0.0,53.6718,43.3344,242197.63104248047,17380.528442382812,14,17,7,27.0,27.0,27.0,1416.01,0.0,53.517,226187.27337646484,27.0,1416.01,0.0,53.62196666666667,226177.57554117838,0.0,0.0,0.0,0.1547999999999945,16010.357666015625,27.0
2026-07-17 14:55:01,gpu45,0,22,27.0,1416.0,0.0,53.7908,42.7811,258254.1143798828,30211.463806152344,14,17,7,27.0,27.0,27.0,1416.01,0.0,53.6718,242197.63104248047,27.0,1416.0066666666664,0.0,53.659866666666666,242213.00626627603,0.0,-0.009999999999990905,0.0,0.11899999999999977,16056.483337402344,28.0
2026-07-17 15:00:01,gpu45,0,22,28.0,1416.0,0.0,53.4862,42.8148,12116.258361816406,43010.728271484375,15,17,7,27.0,27.0,27.0,1416.0,0.0,53.7908,258254.1143798828,27.333333333333332,1416.0033333333333,0.0,53.6496,170856.00126139322,1.0,0.0,0.0,-0.30460000000000065,-246137.8560180664,27.0
2026-07-17 15:05:01,gpu45,0,22,27.0,1416.0,0.0,53.5336,42.8046,28123.13397216797,55841.25207519531,15,17,7,28.0,27.0,27.0,1416.0,0.0,53.4862,12116.258361816406,27.333333333333332,1416.0,0.0,53.60353333333333,99497.83557128906,-1.0,0.0,0.0,0.04740000000000322,16006.875610351562,26.0
2026-07-17 15:10:01,gpu45,0,22,26.0,1416.0,0.0,53.5881,42.933,44107.34130859375,68806.4694213867,15,17,7,27.0,28.0,27.0,1416.0,0.0,53.5336,28123.13397216797,27.0,1416.0,0.0,53.53596666666667,28115.577880859375,-1.0,0.0,0.0,0.05449999999999733,15984.207336425781,27.0
2026-07-17 15:15:01,gpu45,0,22,27.0,1416.0,0.99,53.3936,43.9286,60099.051696777344,81689.74017333984,15,17,7,26.0,27.0,28.0,1416.0,0.0,53.5881,44107.34130859375,26.666666666666668,1416.0,0.33,53.5051,44109.84232584635,1.0,0.0,0.99,-0.1944999999999979,15991.710388183594,28.0
2026-07-17 15:20:02,gpu45,0,22,28.0,1415.99,0.0,53.5615,42.2204,76114.0350341797,94584.1358642578,15,17,7,27.0,26.0,27.0,1416.0,0.99,53.3936,60099.051696777344,27.0,1415.9966666666667,0.33,53.5144,60106.80934651693,1.0,-0.009999999999990905,-0.99,0.16790000000000305,16014.983337402358,27.0
2026-07-17 15:25:01,gpu45,0,22,27.0,1415.99,0.0,53.7459,43.6661,92094.2655029297,107458.01965332033,15,17,7,28.0,27.0,26.0,1415.99,0.0,53.5615,76114.0350341797,27.333333333333332,1415.993333333333,0.33,53.567,76102.45074462892,-1.0,0.0,0.0,0.18439999999999657,15980.23046875,27.0
2026-07-17 15:30:01,gpu45,0,22,27.0,1415.99,0.0,53.4267,43.1115,108130.54974365234,120425.66162109376,15,17,7,27.0,28.0,27.0,1415.99,0.0,53.7459,92094.2655029297,27.333333333333332,1415.99,0.0,53.57803333333334,92112.95009358723,0.0,0.0,0.0,-0.31920000000000215,16036.284240722642,27.0
2026-07-17 15:35:01,gpu45,0,22,27.0,1415.99,0.0,53.623,43.5804,124151.00115966795,133250.88671875,15,17,7,27.0,27.0,28.0,1415.99,0.0,53.4267,108130.54974365234,27.0,1415.99,0.0,53.59853333333333,108125.27213541667,0.0,0.0,0.0,0.1963000000000008,16020.45141601561,28.0
2026-07-17 15:40:01,gpu45,0,22,28.0,1415.98,0.0,53.6112,41.6583,140182.46948242188,146146.7534790039,15,17,7,27.0,27.0,27.0,1415.99,0.0,53.623,124151.00115966795,27.333333333333332,1415.9866666666667,0.0,53.55363333333332,124154.67346191406,1.0,-0.009999999999990905,0.0,-0.01180000000000092,16031.46832275392,27.0
